href,m2,place,price,price_m2,status,timestamp,title
https://www.athome.lu/en/rent/apartment/ettelbruck/id-7215508.html,80.0,Ettelbruck,950,11.875,S,2021-06-05 00:35:50,Apartment in 1 bedroom Ettelbruck
https://www.athome.lu/en/rent/apartment/strassen/id-7179209.html,55.0,Strassen,1200,21.818181818181817,S,2021-06-05 00:35:50,Apartment in 1 bedroom Strassen
https://www.athome.lu/en/rent/apartment/luxembourg/id-7160303.html,35.0,Luxembourg-Limpertsberg,1050,30.0,S,2021-06-05 00:35:50,Studio in Luxembourg-Limpertsberg
https://www.athome.lu/en/rent/apartment/luxembourg/id-7204312.html,35.0,Luxembourg-Bonnevoie,1100,31.428571428571427,S,2021-06-05 00:35:50,Studio in Luxembourg-Bonnevoie
https://www.athome.lu/en/rent/apartment/luxembourg/id-7222235.html,35.0,Luxembourg-Centre ville,1200,34.285714285714285,S,2021-06-05 00:35:50,Studio in Luxembourg-Centre ville
https://www.athome.lu/en/rent/apartment/walferdange/id-7220578.html,41.0,Walferdange,1100,26.82926829268293,S,2021-06-05 00:35:50,Apartment in 1 bedroom Walferdange
https://www.athome.lu/en/rent/apartment/belvaux/id-7201560.html,58.0,Belvaux,1150,19.82758620689655,S,2021-06-05 00:35:50,Apartment in 1 bedroom Belvaux
https://www.athome.lu/en/rent/apartment/drauffelt/id-7215461.html,61.33,Drauffelt,1150,18.75101907712376,S,2021-06-05 00:35:50,Apartment in 1 bedroom Drauffelt
https://www.athome.lu/en/rent/apartment/esch-sur-alzette/id-7063583.html,60.0,Esch-sur-Alzette,1200,20.0,S,2021-06-05 00:35:50,Apartment in 1 bedroom Esch-sur-Alzette
https://www.athome.lu/en/rent/apartment/strassen/id-7195935.html,32.35,Strassen,1200,37.09428129829984,S,2021-06-05 00:35:50,Studio in Strassen
https://www.athome.lu/en/rent/apartment/luxembourg/id-7165530.html,35.0,Luxembourg-Limpertsberg,1100,31.428571428571427,S,2021-06-05 00:35:50,Studio in Luxembourg-Limpertsberg
https://www.athome.lu/en/rent/apartment/dudelange/id-6411843.html,55.0,Dudelange,1175,21.363636363636363,S,2021-06-05 00:35:50,Apartment in 1 bedroom Dudelange
https://www.athome.lu/en/rent/apartment/rumelange/id-5455792.html,59.0,Rumelange,1200,20.338983050847457,S,2021-06-05 00:35:50,Apartment in 1 bedroom Rumelange
https://www.athome.lu/en/rent/apartment/esch-sur-alzette/id-7190366.html,55.0,Esch-sur-Alzette,1100,20.0,S,2021-06-05 00:35:50,Apartment in 1 bedroom Esch-sur-Alzette
https://www.athome.lu/en/rent/apartment/luxembourg/id-7207289.html,140.0,Luxembourg-Neudorf,1100,7.857142857142857,S,2021-06-05 00:35:50,Studio in 1 bedroom Luxembourg-Neudorf
https://www.athome.lu/en/rent/apartment/luxembourg/id-7207953.html,140.0,Luxembourg-Neudorf,1100,7.857142857142857,S,2021-06-05 00:35:50,Apartment in 1 bedroom Luxembourg-Neudorf
